fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Bernie Sanders,Hillary Clinton,Most Votes
5143,11.6,12056,20.6,41248,20.7,17653,0,1.2,4.4,22.4,3497554,2723279,13987,1131,215.6,8507,9110,"('Votes', 'Hillary Clinton')"
5145,2.5,6022,22.8,42487,17.5,7525,1,0,0.7,17.2,1168164,803511,10907,116,74.5,818,2024,"('Votes', 'Hillary Clinton')"
5147,0.7,581,19.3,28259,24.3,391,0,0,0,24.6,0,64736,8451,0,12.4,292,862,"('Votes', 'Hillary Clinton')"
5149,12.7,1426,20.4,35535,22.7,1297,0,0,0,24.3,449599,109292,5001,1,23.9,432,723,"('Votes', 'Hillary Clinton')"
6001,30.8,63738,28.8,72112,12.5,140342,6.8,24.4,8.9,32.2,25236865,17909054,12359,3438,2043.6,91324,107102,"('Votes', 'Hillary Clinton')"
6003,3.8,177,23.7,58636,16.6,122,0,0,0,0,0,0,0,3,1.6,129,110,"('Votes', 'Bernie Sanders')"
6005,5.7,4631,30,53684,12.6,3491,0,0,0,23,142958,1800754,46797,22,64.1,1753,1949,"('Votes', 'Hillary Clinton')"
6007,7.5,18453,20.3,43752,20.4,17307,1.2,2.7,0,30.9,987397,2400652,11025,550,134.4,14271,9681,"('Votes', 'Bernie Sanders')"
6009,4.2,5216,35.5,55295,10.9,5365,0,0,0,24.7,0,292762,6249,70,44.7,2392,2630,"('Votes', 'Hillary Clinton')"
6011,23.3,1126,21.2,52158,12.5,1234,0,0,0,25.9,288416,208543,9884,58,18.6,584,653,"('Votes', 'Hillary Clinton')"
6013,23.5,57474,33.3,78756,10.5,95688,4.1,14.8,10.9,31.2,32021431,11763753,11641,2001,1465.2,46909,69809,"('Votes', 'Hillary Clinton')"
