fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Ben Carson,Carly Fiorina,Chris Christie,Donald Trump,Jeb Bush,John Kasich,Marco Rubio,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz,Most Votes
5067,0.8,1352,19.1,30284,28.4,1110,0,0,0,17,0,190887,11203,5,28.4,82,0,0,711,0,31,351,0,0,0,437,"('Votes', 'Donald Trump')"
5069,1.4,5858,21.3,37140,23.9,4083,28.1,2.9,0,25.6,0,867380,10922,55,88.9,180,0,0,1490,0,41,712,0,0,0,1285,"('Votes', 'Donald Trump')"
5071,6.3,1887,20.5,31003,20.1,2100,0,0,0,28.6,546790,196775,7942,3,38.7,234,0,0,1338,0,98,617,0,0,0,1004,"('Votes', 'Donald Trump')"
5073,0.7,534,24.9,29732,24.1,0,0,0,0,0,0,32850,4257,0,14.5,54,0,0,334,0,11,80,0,0,0,298,"('Votes', 'Donald Trump')"
5075,0.6,1443,25.1,32239,25.4,1434,0,0,0,24.1,0,163661,9703,3,29.6,89,0,0,445,0,21,230,0,0,0,426,"('Votes', 'Donald Trump')"
5077,0.8,485,20.4,25034,31.5,532,0,0,0,23.7,0,35796,3345,0,17.3,16,0,0,349,0,12,120,0,0,0,143,"('Votes', 'Donald Trump')"
5079,1.5,901,26.2,32697,27,586,0,0,0,32.8,0,57549,4202,0,25.2,68,0,0,581,0,15,242,0,0,0,416,"('Votes', 'Donald Trump')"
5081,1.4,1218,23.4,39673,14,863,0,0,0,21.4,0,88228,6846,1,24.7,87,0,0,521,0,15,187,0,0,0,488,"('Votes', 'Donald Trump')"
5083,1.2,2058,26,34996,17.6,1924,0,0,0,0,692089,178072,7855,8,31.6,205,0,0,1208,0,64,687,0,0,0,1077,"('Votes', 'Donald Trump')"
5085,2.1,7426,25.6,52582,13.2,5253,4.1,0.7,2.2,21.5,0,497238,7821,263,88.7,706,0,0,3826,0,301,2588,0,0,0,4028,"('Votes', 'Ted Cruz')"
5087,2.3,1279,29.6,35771,22.6,1202,0,0,0,0,0,114683,7381,0,18.8,88,0,0,671,0,29,296,0,0,0,632,"('Votes', 'Donald Trump')"
5089,2.4,2267,24.1,34494,18.9,2094,0,0,0,0,350144,87884,5291,2,27.9,318,0,0,1581,0,148,548,0,0,0,903,"('Votes', 'Donald Trump')"
5091,0.9,3406,20.2,41319,19.5,3160,11.3,1.1,0,18.9,712872,407683,9503,37,69.5,448,0,0,2425,0,212,881,0,0,0,2741,"('Votes', 'Ted Cruz')"
5093,1.8,3002,18.2,36428,24.9,2231,13.4,0,0,28.9,5010206,421872,9051,30,51.6,222,0,0,1575,0,138,673,0,0,0,811,"('Votes', 'Donald Trump')"
5095,0.8,629,19.5,27263,28.8,832,0,0,0,0,0,82241,9599,1,13.4,14,0,0,173,0,5,81,0,0,0,138,"('Votes', 'Donald Trump')"
5097,1.7,1139,25.9,31345,22,922,0,0,0,0,0,32370,3570,0,12.2,100,0,0,672,0,68,287,0,0,0,432,"('Votes', 'Donald Trump')"
5099,1,762,25.1,33694,26.5,622,0,0,0,0,0,136792,14660,0,14.6,45,0,0,232,0,11,128,0,0,0,246,"('Votes', 'Ted Cruz')"
5101,0.8,838,37.7,30038,23.5,1027,0,0,0,0,0,13268,1596,1,10.1,146,0,0,1073,0,83,789,0,0,0,593,"('Votes', 'Donald Trump')"
5103,1,2039,22.7,32015,23.1,2153,13.6,0,0,0,0,185662,7135,3,35.6,156,0,0,1006,0,61,662,0,0,0,789,"('Votes', 'Donald Trump')"
5105,0.8,1002,34.8,42455,15.6,636,0,0,0,0,0,32763,3162,1,18.9,69,0,0,522,0,30,238,0,0,0,544,"('Votes', 'Ted Cruz')"
5107,0.6,1271,18.3,26737,33.5,1791,26.7,0,0,33.4,0,229411,10468,34,31.3,28,0,0,363,0,11,113,0,0,0,110,"('Votes', 'Donald Trump')"
5109,3.7,862,24.1,32206,24.8,964,0,0,0,15.1,0,52793,4876,0,18.8,108,0,0,511,0,30,327,0,0,0,501,"('Votes', 'Donald Trump')"
5111,1.3,1835,23.5,32089,28.1,1682,0,0,0,20.3,172016,193122,7762,9,32.4,155,0,0,1036,0,69,473,0,0,0,901,"('Votes', 'Donald Trump')"
5113,2.8,2163,20.3,32835,23.1,1931,0,0,0,22.6,303468,176896,8785,2,24.1,311,0,0,1895,0,155,1040,0,0,0,1043,"('Votes', 'Donald Trump')"
5115,3.5,4459,19.5,40453,19.3,5192,0,0,1.8,21.3,1436684,919267,15530,53,76,624,0,0,3073,0,282,2331,0,0,0,3005,"('Votes', 'Donald Trump')"
5117,0.3,824,24.4,34855,21.2,572,0,0,0,9.3,0,39496,4481,11,13.4,44,0,0,326,0,11,230,0,0,0,466,"('Votes', 'Ted Cruz')"
5119,5.2,31984,19.8,46013,17.2,35392,14.1,2,2.1,26.7,5969537,6163074,16435,1142,503.8,2020,0,0,11840,0,2534,16282,0,0,0,12848,"('Votes', 'Marco Rubio')"
